ymd	title1	title2	kiji1	kiji2	cls	kw
20190131	岐阜		市民書き初め展　	市文化会館	文化	
20190131	岐阜		園児、成長の軌跡２０００点	山手幼稚園　工作や絵画展示	教育	
20190131	岐阜		起業の夢美濃加茂から	空きビルに新たな交流拠点	行政・政治	コミュニティービル「MINGLE（ミングル）
20190131	中日		第51回県少年サッカー　参加チーム	美濃加茂コヴィーダＪＦＣ、太田ＳＳ	行事	
20190131	中日		第51回県少年サッカー　仲間信じて勝利目指せ	１次リーグ組み合わせ	行事	
20190131	中日		未来はぐくむ	加茂野小ＰＴＡ	教育	
20190131	中日		配当所得などで住民税算定誤り	美濃加茂市	行政・政治	
20190130	岐阜		県内特別支援学校が合同展	「人・顔」集うアート	教育	
20190130	岐阜		人身事故　市町村別で傾向分析　加茂署、抑止対策に活用	美濃加茂市は20代、川辺町は行楽期に集中	行政・政治	
20190130	岐阜		伴野さんが1000万円寄付	美濃加茂市と協定　交流施設整備費に	行政・政治	
20190130	岐阜		各務原で豚コレラ　終息の機運暗転	県畜産研（美濃加茂市）、関市に移転	事件・事故	
20190130	中日		第15回川辺カップサッカー大会	Eクラス2年生以下1位：山手サッカー少年団	行事	
20190130	中日		お菓子やゲーム楽しむ	美濃加茂　オーストラリア・デー	行政・政治	
20190130	中日		写真や絵画で入賞加茂高生5人報告	美濃加茂市長に	ひと	
20190130	中日		「地歌舞伎知って」小鼓稽古	美濃加茂・伊深小6年　2日発表会	教育	
20190130	中日		温かく迎え共に生活を	美濃加茂在住外国人と市長懇談	行政・政治	
20190129	岐阜		県ゆかり選手闘志　岐阜オープン初陣	山口量さん（美濃加茂高出）	ひと	
20190129	岐阜		アフガンの次代に平和を	講話：正眼寺の山川宗玄老師	ひと	
20190129	岐阜		可茂消防昨年統計　	火災、16件増の72件　死者は3人	行政・政治	
20190129	岐阜		ねんりんピック岐阜2020の前哨戦　鋭い一手、盤上に火花　将棋中濃大会40人参加	B級3位：塚本隆雄さん（美濃加茂市）	ひと	
20190129	岐阜		郷土の調べ60年ぶり復活へ	美濃加茂・伊深に伝わる地芝居はやし	教育	
20190129	中日		せせらぎ　自然農		その他	
20190129	中日		美濃加茂　伐採竹でアート	500本の青竹　川沿い彩る	その他	佐合広和さん
20190128	岐阜		ブラジル人が酒気帯び疑い	加茂署	事件・事故	
20190128	岐阜		県高校新人バスケ	男子、美濃加茂V2	行事	
20190128	岐阜		全国高校柔道県予選　	女子63キロ級1年の伊藤（美濃加茂）制す	行事	
20190128	中日		酒気帯び運転の疑い	加茂署	事件・事故	
20190128	中日		県高校バスケットボール新人大会	男子1位：美濃加茂　女子4位：美濃加茂	行事	
20190128	中日		県高校サッカー新人大会	結果	行事	
20190128	中日		県高校柔道新人大会	成績	行事	
20190128	中日		ロマンチック街道マラソン	上位入賞の皆さん	行事	
20190127	岐阜		県高校新人サッカー	結果	行事	
20190127	岐阜		県高校バレー男女４強決定	新人大会	行事	
20190127	岐阜		県高校新人バスケ	結果	行事	
20190127	岐阜		新庁舎計画の中間答申案調整	美濃加茂市未来のまちづくり委会議	行政・政治	
20190126	岐阜		ミュージアムフォーラム　「版画史と『私』」	美濃加茂市民ミュージアム	行事	
20190126	岐阜		大収穫の海外農業研修	加茂農林高洞口由実子さん	ひと	
20190126	岐阜		5個の豚の角煮、合格の味　パスタで受験生応援	美濃加茂のイタリア料理店「シエスタ」（森山町）	その他	
20190126	岐阜		250年の歴史、絶やすな	旧太田脇本陣林家住宅　国重文で防火訓練	行政・政治	
20190126	中日		子どもたちの教育に寄付	蜂屋小学校	その他	
20190126	中日		文化財防火デーに向け訓練	可茂消防事務組合など　美濃加茂の国重文で	行政・政治	
20190125	岐阜		共生の街あいさつから	美濃加茂市長　外国人市民と意見交換	行政・政治	
20190125	岐阜		はち里コロッケ給食に　小中学校6300食古里の味、クリーミー	美濃加茂産サトイモ＋蜂屋柿で飼育した豚	教育	
20190125	中日		男女共同参画目線の防災講座	NPO法人ママプラグ理事宮丸みゆきさん	行事	市文化会館
20190125	中日		図書館DEサイエンス　講師：「探Q舎」長谷川園子代表	市中央図書館	図書館	
20190125	中日		酒気帯び運転の疑い	加茂署	事件・事故	
20190125	中日		白川の活性化考える　魅力発見塾の開講式　塾生が企画発表	講師：美濃加茂市の起業家支援団体「姫biz」代表安藤摩里さん	ひと	
20190125	中日		古い着物をつるし雛や人形に	可児で展示	行事	
20190125	中日		美濃加茂の渡辺峻司さん・可奈子さん夫妻１位	犬山で串キング催し	ひと	
20190125	岐阜		酒気帯び運転疑いで男逮捕	加茂署	事件・事故	
20190125	岐阜		14歳の君へ　言葉を使う訓練、人生豊かに	脚本家・北川悦吏子さん	ひと	
20190125	中日		園児ら「どすこい、どすこい」	美濃加茂・加茂野保育園で相撲大会	教育	
20190124	岐阜		ひだみの人ひと　輝いてます　独自のそば技法確立	長谷川政夫さん（加茂川町）	ひと	
20190124	岐阜		図書館DEサイエンス　講師：「探Q舎」長谷川園子代表	市中央図書館	図書館	
20190124	岐阜		和の住まい魅力を発信	美濃加茂でシンポ	行事	
20190124	岐阜		加茂野保育園で相撲大会	子ども力士元気一番	教育	
20190124	中日		未来はぐくむ	伊深小PTA（美濃加茂市）	教育	
20190124	中日		保育で命の大切さ学ぶ	美濃加茂西中生　園児らと触れ合う授業	教育	
20190123	岐阜		つたえたい	日比野公哉さん　美濃加茂市地域振興課	ひと	
